product_category,product,brand,model,review_text
Smartphone,Vivo Vivo Z1x,Vivo,Vivo Z1x,"The camera quality is very good, i like it, but it heats too fast"
Smartphone,Vivo Z1x,Vivo,Z1x,"The camera quality is good,but the bettery heats too fast"
Laptop,Lenovo Yoga Slim 7,Lenovo,Yoga Slim 7,Battery capacity is 65WH and battery life is excellent. 
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,"The performance is smooth for daily use and multitasking.
"
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,Battery life is good and lasts a full working day.
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,The display is clear but brightness could be better.
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,"The keyboard is very comfortable for typing.
"
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,The build quality feels strong and durable for long-term use
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,The laptop heats up slightly under heavy workload
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,Audio quality is decent but not very loud
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,The design is simple and professional looking
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,Boot time is fast due to SSD
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,The touchpad is responsive and smooth
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,Gaming performance is average
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,The laptop is lightweight and portable
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,Battery drains faster during gaming
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,Multitasking works without lag
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,Webcam quality is average
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,The screen colors are natural
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,Fan noise is noticeable under load
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,Good for students and office work
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,Value for money is excellent
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,"Overall, a reliable laptop for everyday usage"
Laptop,Lenovo IdeaPad 5,Lenovo,IdeaPad 5,The camera quality is great but battery drains too fast and keyboard is uncomfortable to use
Smartphone,Realme 5,Realme,5,The camera quality is great but the battery drains too fast
Laptop,HP Pavilion 15,HP,Pavilion 15,"The display quality is sharp and vibrant.
"
Laptop,HP Pavilion 15,HP,Pavilion 15," Keyboard typing experience is smooth.
"
Laptop,HP Pavilion 15,HP,Pavilion 15,The laptop performs well for daily activities.
